,lat,lon,pttid,time
93,24.5462,138.725,300234063948880,2018-09-23 22:00:00
94,24.5495,138.729,300234063948880,2018-09-23 23:00:00
95,24.5585,138.735,300234063948880,2018-09-24 00:00:00
96,24.5675,138.74,300234063948880,2018-09-24 01:00:00
97,24.5784,138.747,300234063948880,2018-09-24 02:00:00
98,24.5894,138.756,300234063948880,2018-09-24 03:00:00
99,24.6027,138.768,300234063948880,2018-09-24 04:00:00
100,24.6182,138.782,300234063948880,2018-09-24 05:00:00
101,24.6309,138.794,300234063948880,2018-09-24 06:00:00
102,24.641,138.812,300234063948880,2018-09-24 07:00:00
103,24.6478,138.831,300234063948880,2018-09-24 08:00:00
104,24.6515,138.85,300234063948880,2018-09-24 09:00:00
105,24.6491,138.866,300234063948880,2018-09-24 10:00:00
106,24.6444,138.879,300234063948880,2018-09-24 11:00:00
107,24.6399,138.889,300234063948880,2018-09-24 12:00:00
108,24.6372,138.899,300234063948880,2018-09-24 13:00:00
109,24.6346,138.907,300234063948880,2018-09-24 14:00:00
110,24.6304,138.916,300234063948880,2018-09-24 15:02:00
111,24.6264,138.922,300234063948880,2018-09-24 16:00:00
112,24.622,138.92,300234063948880,2018-09-24 17:00:00
113,24.6188,138.915,300234063948880,2018-09-24 18:02:00
114,24.6182,138.909,300234063948880,2018-09-24 19:00:00
115,24.622,138.903,300234063948880,2018-09-24 20:00:00
116,24.6255,138.896,300234063948880,2018-09-24 21:00:00
117,24.6308,138.889,300234063948880,2018-09-24 22:00:00
118,24.641,138.883,300234063948880,2018-09-24 23:00:00
119,24.6555,138.882,300234063948880,2018-09-25 00:02:00
120,24.6699,138.882,300234063948880,2018-09-25 01:00:00
121,24.6905,138.892,300234063948880,2018-09-25 02:01:00
122,24.7049,138.895,300234063948880,2018-09-25 03:00:00
123,24.7249,138.903,300234063948880,2018-09-25 04:00:00
124,24.7449,138.917,300234063948880,2018-09-25 05:04:00
125,24.7559,138.933,300234063948880,2018-09-25 06:00:00
126,24.7636,138.953,300234063948880,2018-09-25 07:00:00
127,24.7665,138.972,300234063948880,2018-09-25 08:00:00
128,24.7663,138.988,300234063948880,2018-09-25 09:00:00
129,24.7632,139.002,300234063948880,2018-09-25 10:00:00
130,24.7576,139.009,300234063948880,2018-09-25 11:00:00
